F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,T
162,243,-243,-243,-81,243,-162,-108,135,-51,162,63,1,170
9,0,0,-18,18,36,-30,-18,27,-33,-3,12,1,16
36,-27,27,0,-18,0,21,-18,-36,36,15,27,1,2
9,27,-27,-36,-27,9,18,0,18,15,36,30,1,172
3,9,0,0,9,-9,9,0,9,3,9,-9,1,167
-6,9,0,9,9,9,-9,9,-12,3,12,-12,1,42
3,0,0,6,-9,-9,-12,-9,9,12,9,0,1,167
-6,-9,-9,12,9,9,6,-9,-9,-9,9,-9,1,167
36,-27,27,36,0,0,18,-9,-36,30,-18,0,1,130
12,9,9,-9,0,-9,12,9,0,0,3,3,1,121
12,-9,0,-3,9,9,12,-9,0,12,9,0,1,42
3,0,0,-3,0,0,-3,0,3,0,0,3,1,169
9,0,0,-9,9,9,12,-9,-9,3,-12,-3,1,171
-81,0,81,27,0,-108,-27,-81,-54,-99,-108,84,1,73
3,0,9,-6,-9,-9,-9,9,0,-9,9,0,1,167
3,9,0,-6,-9,-9,9,9,0,-6,9,-9,1,42
-3,9,0,-6,9,9,0,-9,-9,-12,6,-3,1,167
-12,9,-9,6,0,9,-6,9,-9,9,-9,0,1,169
-18,0,27,18,0,-27,-36,-27,-36,30,-27,-9,1,70
36,-27,-27,-36,0,0,-24,9,-18,-33,-27,36,1,3
3,0,0,12,-9,0,9,0,0,-12,9,9,1,167
18,-27,-27,-27,-27,36,-21,18,-27,27,-36,12,1,215
12,-9,9,6,-9,9,12,-9,9,3,9,0,1,42
-3,0,-9,9,-9,0,6,0,0,-12,0,-3,1,212
-324,-243,243,135,162,162,9,0,108,120,-252,306,1,119
3,3,0,0,0,0,0,0,0,0,0,0,1,84
-6,-9,9,-12,-9,9,6,9,-9,3,12,3,1,121
-81,0,-81,-54,-81,-108,18,108,9,-120,-45,66,1,46
